"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"ASHOKLEY","230.00","231.28","224.85","229.56","226.35","-3.21","-1.40","1,17,46,524","267.25","245.67","157.55","-0.82","40.32"
"ABFRL","328.70","329.65","321.30","327.65","323.00","-4.65","-1.42","37,05,971","120.28","339.40","192.95","1.06","53.43"
"LICHSGFIN","798.80","800.00","780.20","795.70","783.80","-11.90","-1.50","18,01,676","141.47","821.25","382.70","20.18","104.10"
"HDFCAMC","4,231.00","4,252.20","4,103.65","4,234.70","4,169.45","-65.25","-1.54","7,25,210","301.65","4,264.95","2,218.55","10.76","87.96"
"IDFCFIRSTB","81.18","81.35","79.46","81.19","79.90","-1.29","-1.59","3,22,09,972","258.29","100.70","70.80","4.49","1.87"
"PATANJALI","1,654.70","1,655.00","1,622.00","1,648.30","1,622.00","-26.30","-1.60","2,79,086","45.64","1,764.40","1,165.10","17.63","-"
"JSWINFRA","356.95","356.95","346.35","356.65","350.95","-5.70","-1.60","24,29,203","85.23","360.95","142.20","24.49","-"
"UNIONBANK","135.00","135.80","133.00","135.73","133.35","-2.38","-1.75","1,01,39,728","136.15","172.50","77.65","-7.32","69.66"
"BDL","1,741.05","1,773.30","1,670.00","1,731.85","1,700.05","-31.80","-1.84","40,89,435","701.96","1,794.70","450.00","21.03","57.01"
"MAZDOCK","5,710.00","5,830.00","5,500.00","5,685.80","5,580.00","-105.80","-1.86","36,44,959","2,065.96","5,860.00","1,280.00","80.32","329.90"
"TATACHEM","1,101.75","1,111.15","1,078.65","1,101.75","1,080.90","-20.85","-1.89","11,11,230","121.22","1,349.00","933.00","4.32","9.93"
"LTF","190.01","190.58","185.17","189.91","186.15","-3.76","-1.98","44,60,806","83.53","194.25","116.50","12.74","-"
"TATACOMM","1,888.30","1,892.95","1,840.00","1,888.30","1,850.00","-38.30","-2.03","2,69,813","50.31","2,084.65","1,525.05","4.17","21.85"
"PRESTIGE","1,820.80","1,842.65","1,763.10","1,815.20","1,775.90","-39.30","-2.17","8,21,746","147.60","2,074.80","521.20","3.08","211.92"
"ABCAPITAL","236.01","237.04","230.42","236.01","230.90","-5.11","-2.17","32,81,207","76.32","246.90","155.00","1.77","24.71"
"INDUSTOWER","396.00","398.85","384.20","395.65","386.50","-9.15","-2.31","1,73,94,416","677.29","408.40","157.35","13.97","142.14"
"INDIANB","538.85","540.00","524.80","538.85","526.10","-12.75","-2.37","17,29,642","91.95","632.70","301.50","0.78","74.78"
"SUPREMEIND","6,039.75","6,061.95","5,870.00","6,039.75","5,895.95","-143.80","-2.38","57,878","34.34","6,460.00","3,140.00","5.07","91.56"
"TORNTPOWER","1,518.00","1,523.80","1,457.25","1,509.50","1,471.10","-38.40","-2.54","2,33,580","34.36","1,633.10","601.00","0.77","138.26"
"ASTRAL","2,414.00","2,414.20","2,307.85","2,406.25","2,342.40","-63.85","-2.65","8,71,732","204.23","2,454.00","1,740.00","11.46","34.62"
"IDEA","17.10","17.23","16.50","17.09","16.61","-0.48","-2.81","54,12,64,689","911.49","19.18","7.15","7.82","129.40"
"CUMMINSIND","4,144.00","4,154.00","3,960.80","4,134.00","4,000.60","-133.40","-3.23","9,37,986","376.53","4,171.90","1,653.30","14.62","117.31"
"MANKIND","2,137.85","2,150.00","2,055.55","2,137.85","2,066.00","-71.85","-3.36","3,94,387","82.31","2,490.00","1,683.05","0.49","23.30"
"YESBANK","26.95","27.44","25.57","26.64","25.70","-0.94","-3.53","64,83,38,958","1,718.10","32.85","15.70","15.08","52.66"
"PERSISTENT","4,779.80","4,784.95","4,566.25","4,771.25","4,599.25","-172.00","-3.60","9,71,949","450.91","4,845.70","1,158.59","23.92","-1.21"
"OBEROIRLTY","1,798.00","1,798.00","1,715.00","1,785.05","1,719.85","-65.20","-3.65","5,26,932","91.74","1,953.05","1,004.35","-5.53","74.89"
"AUBANK","667.95","668.25","639.10","672.60","645.00","-27.60","-4.10","61,91,001","401.31","813.40","553.70","0.54","-11.69"
