auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Entry Price,Exit Price,Trailing Exit,Profit,Trailing Profit
,,,,,86400,2.0,603.8,609.5,600.1,657.6,603.8,609.5,600.1,657.6,2.5,0.1365,1.013,35.346996,19.182976,443296.0,443296.0,187871.0,235834.0,235834.0,,,38953693184.0,345.3,657.6,1.1062908,558.558,500.75876,43286814720.0,0.03118,17813307.0,60190700.0,0.69074,0.16337,,168.942,3.8288286,1711843200.0,1743379200.0,1711843200.0,0.474,1097776000.0,18.3,33.72,,,1.229,12.709,,,,,SANDHAR TECHNOLOGI,Sandhar Technologies Limited,1522640700,19800000,646.85,698.0,691.0,694.5,694.5,1.0,strong_buy,2.0,456576000.0,7.588,3406091008.0,7410334208.0,35211079680.0,72.894,587.613,0.45,0.2,0.38972,0.09673,0.06093,SANDHAR.NS,628.9000244140625,657.6,628.9000244140625,657.5999755859375,609.5,646.8499755859375,621.6110241699218,7.289000244140652,No,628.9000244140625,646.8499755859375,652.5999755859375,17.949951171875,23.699951171875
,,,,,86400,2.0,687.05,691.75,691.7,769.0,687.05,691.75,691.7,769.0,34.0,0.89589995,1.08,20.044819,,2817658.0,2817658.0,153850.0,143751.0,143751.0,,,54419156992.0,327.25,769.0,1.9657046,646.459,617.3995,52733956096.0,0.09803,20843514.0,71518600.0,0.68797,0.0080699995,,147.019,5.1714406,1711843200.0,1743379200.0,1711843200.0,0.336,2713999872.0,37.93,,5:1,1195776000.0,1.905,12.487,,,,,BANCO PRODUCTS,Banco Products (India) Limited,1166759100,19800000,760.3,,,,,,none,,634600000.0,8.873,4223200000.0,4229700096.0,27684300800.0,40.225,387.111,0.335,0.188,0.42129,0.15255,0.11842,BANCOINDIA.NS,744.1500244140625,769.0,744.1500244140625,769.0,691.75,760.2999877929688,735.7085241699218,8.441500244140684,No,744.1500244140625,760.2999877929688,764.0,16.14996337890625,19.8499755859375
,,,,,86400,2.0,762.05,762.05,758.15,818.0,762.05,762.05,758.15,818.0,2.0,0.0357,0.288,28.584198,,164640.0,164640.0,156866.0,163530.0,163530.0,,,14462874624.0,398.0,818.0,1.9035038,648.746,533.6138,14501999616.0,0.06663,4725722.0,18079200.0,0.61881,2.0000001e-05,,233.888,3.4183028,1711843200.0,1743379200.0,1711843200.0,0.25,506230016.0,27.97,,,,1.909,19.16,,,,,Asso Alcohols & Brew Ltd,Associated Alcohols & Breweries Limited,1581479100,19800000,799.5,,,,,,none,,355192992.0,19.646,756870016.0,1079938048.0,7598027776.0,25.539,420.268,0.251,0.311,0.33128,0.09961,0.05836,ASALCBR.NS,787.4500122070312,818.0,787.4500122070312,818.0,762.0499877929688,799.5,778.5755120849609,8.874500122070344,No,787.4500122070312,799.5,813.0,12.04998779296875,25.54998779296875
,,,,,86400,2.0,550.9,548.45,547.05,566.65,550.9,548.45,547.05,566.65,1.5,0.089700006,0.359,33.61791,,1266919.0,1266919.0,1755969.0,1443634.0,1443634.0,,,136477974528.0,287.7,566.65,3.0285587,478.036,425.45224,142860566528.0,0.089940004,141732378.0,242368992.0,0.43633997,0.31219998,,133.084,4.231162,1711843200.0,1743379200.0,1711843200.0,0.084,4053100032.0,16.75,,10:1,1427068800.0,3.17,16.849,,,,,GRANULES INDIA,Granules India Limited,1119239100,19800000,563.1,,,,,,none,,3811000064.0,15.724,8478640128.0,13150640128.0,45063671808.0,40.77,186.052,0.089,-0.017,0.52717996,0.18815,0.1758,GRANULES.NS,553.4000244140625,566.65,553.4000244140625,566.6500244140625,548.4500122070312,563.0999755859375,547.4500122070312,5.95001220703125,No,553.4000244140625,563.0999755859375,561.6500244140625,9.699951171875,8.25
,,,,,86400,2.0,1160.9,1165.0,1151.05,1197.0,1160.9,1165.0,1151.05,1197.0,13.0,0.123,0.582,20.821905,17.068022,7726745.0,7726745.0,3929101.0,6620437.0,6620437.0,,,7491013836800.0,597.35,1197.0,0.8747566,1031.258,907.8495,7616327057408.0,0.049429998,151540764.0,6325000192.0,0.965,0.00844,,119.582,9.904082,1711843200.0,1743379200.0,1711843200.0,0.721,423297613824.0,56.88,69.39,,,0.889,19.75,,,,,Life Insura Corp of India,Life Insurance Corporation of India,1652759100,19800000,1184.35,1300.0,775.0,1130.44,1210.0,1.9,buy,16.0,418244689920.0,60.443,385645576192.0,,8563540885504.0,,1308.714,2.146,0.263,0.10025,0.045029998,0.062750004,LICI.NS,1175.0,1197.0,1175.0,1197.0,1165.0,1184.3499755859375,1164.0,11.0,No,1175.0,1184.3499755859375,1192.0,9.3499755859375,17.0
,,,,,86400,2.0,93.55,94.0,93.88,110.25,93.55,94.0,93.88,110.25,0.5,,,40.828247,,7653042.0,7653042.0,508919.0,683386.0,683386.0,,,10229188608.0,68.15,110.25,0.970631,86.438,80.544,9540649984.0,0.02377,67612606.0,95585800.0,0.27851,0.18691999,,144.976,0.73784626,1711843200.0,1743379200.0,1711843200.0,,250500000.0,2.62,,,,0.905,11.416,,,,,GHCL Textiles Limited,GHCL Textiles Limited,1686541500,19800000,106.97,,,,,,none,,119600000.0,1.251,835699968.0,718200000.0,10538699776.0,5.183,110.254,,,0.22780001,0.0793,0.05347,GHCLTEXTIL.NS,98.25,110.25,98.25,110.25,94.0,106.97000122070312,96.2675,1.9825000000000017,No,98.25,106.97000122070312,5.5125,8.720001220703125,-92.7375
,,,,,86400,2.0,361.5,364.0,361.7,376.9,361.5,364.0,361.7,376.9,,,-0.056,,54.84604,15089782.0,15089782.0,10569979.0,17660972.0,17660972.0,,,115916963840.0,172.55,376.9,2.2674398,256.0702,238.0533,140176785408.0,-0.04447,140418937.0,309896992.0,0.76439005,0.17458001,,175.85,2.127097,1711843200.0,1743379200.0,1711843200.0,,-2273400064.0,-7.34,6.82,2:1,1444262400.0,2.742,141.564,,,,,INDIA CEMENTS,The India Cements Limited,820554300,19800000,374.05,250.0,120.0,171.11,160.0,3.7,underperform,9.0,852499968.0,2.689,990200000.0,26182400000.0,51122401280.0,46.76,164.606,,-0.147,0.43268,0.01937,-0.016180001,INDIACEM.NS,366.0,376.9,366.0,376.8999938964844,364.0,374.04998779296875,363.0,3.0,No,366.0,374.04998779296875,371.8999938964844,8.04998779296875,5.899993896484375
3.0,5.0,8.0,7.0,6.0,86400,2.0,747.25,757.1,739.2,767.2,747.25,757.1,739.2,767.2,3.1,0.0256,1.813,9.340659,17.898924,2721037.0,2721037.0,1765906.0,2103279.0,2103279.0,,,4102197870592.0,392.95,767.2,0.9367293,661.454,592.4535,3499158142976.0,0.0717,2136168278.0,508503008.0,0.095970005,0.3796,,221.588,3.452353,1711843200.0,1743379200.0,1711843200.0,2.219,313990905856.0,81.9,42.74,5:1,1315785600.0,0.799,7.208,,,,,TATA MOTORS LTD.,Tata Motors Limited,1225856700,19800000,765.0,203.0,203.0,203.0,203.0,3.0,hold,1.0,592166387712.0,154.522,485433016320.0,1120443695104.0,4379277787136.0,117.15,1143.185,2.217,0.133,0.43827,0.11085,0.06937,TATAMTRDVR.NS,749.4000244140625,767.2,749.4000244140625,767.2000122070312,757.0999755859375,765.0,748.4000244140625,8.699951171875,No,757.0999755859375,765.0,762.2000122070312,7.9000244140625,5.10003662109375
,,,,,86400,2.0,663.95,668.9,666.8,768.4,663.95,668.9,666.8,768.4,1.25,0.0756,0.789,43.424076,,4048814.0,4048814.0,521583.0,528548.0,528548.0,,,88239153152.0,406.95,768.4,3.758296,571.67,546.6522,74370400256.0,0.08349,74677323.0,122930000.0,0.46452,0.18831,,85.863,8.359829,1711843200.0,1743379200.0,1711843200.0,-0.109,1960199936.0,16.53,,,,3.168,27.347,,,,,Ion Exchange (India) Ltd,Ion Exchange (India) Limited,1645501500,19800000,717.8,,,,,,none,,5884400128.0,49.636,2719500032.0,1524199936.0,23478499328.0,14.946,198.038,-0.109,0.207,0.37616003,0.115830004,0.1046,IONEXCHANG.NS,710.0,768.4,710.0,768.4000244140625,668.9000244140625,717.7999877929688,701.9,8.100000000000023,No,710.0,717.7999877929688,763.4000244140625,7.79998779296875,53.4000244140625
,,,,,86400,2.0,787.9,795.0,776.35,826.0,787.9,795.0,776.35,826.0,2.5,0.1815,0.431,88.60927,48.303246,296702.0,296702.0,113243.0,141315.0,141315.0,,,36496891904.0,309.0,826.0,10.697342,683.43,563.8032,36481720320.0,0.12184,17080623.0,45462000.0,0.62472,0.13302,,109.069,7.360478,1711843200.0,1743379200.0,1711843200.0,0.666,415705984.0,9.06,16.62,,,10.693,32.996,,,,,ARVIND SMARTSPACES,Arvind SmartSpaces Limited,1440560700,19800000,802.8,,,,,2.0,buy,,1663106944.0,36.678,1105636992.0,1102214016.0,3411771904.0,17.602,75.295,0.664,0.266,0.72963,0.32407,0.25931,ARVSMART.NS,791.0,826.0,791.0,826.0,795.0,802.7999877929688,790.0,5.0,No,795.0,802.7999877929688,821.0,7.79998779296875,26.0
3.0,5.0,8.0,7.0,6.0,86400,2.0,1090.95,1111.95,1083.6,1120.5,1090.95,1111.95,1083.6,1120.5,3.0,0.024400001,1.813,13.649457,,21228652.0,21228652.0,12599357.0,10604256.0,10604256.0,,,4107471421440.0,593.3,1120.5,0.9379335,979.62,885.4165,4816299884544.0,0.0717,2136168278.0,3324659968.0,0.47926998,0.23563999,,221.588,5.046754,1711843200.0,1743379200.0,1711843200.0,2.219,313990905856.0,81.93,,5:1,1315785600.0,1.1,9.922,,,,,TATA MOTORS LTD.,Tata Motors Limited,662787900,19800000,1118.3,,,,,,none,,592166387712.0,154.522,485433016320.0,1120443695104.0,4379277787136.0,117.15,1143.185,2.217,0.133,0.43827,0.11085,0.06937,TATAMOTORS.NS,1094.0,1120.5,1094.0,1120.5,1111.949951171875,1118.300048828125,1093.0,18.949951171875,No,1111.949951171875,1118.300048828125,1115.5,6.35009765625,3.550048828125
,,,,,86400,2.0,912.45,920.0,915.2,956.7,912.45,920.0,915.2,956.7,,,1.419,78.88275,,857800.0,857800.0,376549.0,458252.0,458252.0,,,237542080512.0,486.05,956.7,22.593925,738.509,672.42175,224716488704.0,0.28561002,95800430.0,254564992.0,0.10033,0.21505,,80.556,11.525523,1711843200.0,1743379200.0,1711843200.0,-0.569,3002804992.0,11.77,,2:1,1600992000.0,21.374,55.306,,,,,Suven Pharmaceuticals Ltd,Suven Pharmaceuticals Limited,1583725500,19800000,928.45,,,,,,none,,8211267072.0,32.256,4063153920.0,649964032.0,10513537024.0,3.17,41.3,-0.569,-0.315,0.57168996,0.38647,0.24364,SUVENPHAR.NS,922.9000244140625,956.7,922.9000244140625,956.7000122070312,920.0,928.4500122070312,919.0,3.9000244140625,No,922.9000244140625,928.4500122070312,951.7000122070312,5.54998779296875,28.79998779296875
,,,,,86400,2.0,201.78,207.0,197.03,211.86,201.78,207.0,197.03,211.86,,,0.494,12.543517,,364689.0,364689.0,149842.0,272846.0,272846.0,,,6955342848.0,49.0,211.86,1.2082595,162.8962,139.70555,7707554816.0,0.09721,15058426.0,32745500.0,0.53756,0.023510002,,8.54,24.807962,1711843200.0,1743379200.0,1711843200.0,32.12,559563008.0,16.89,,,,1.339,11.01,,,,,WANBURY LTD,Wanbury Limited,1170042300,19800000,211.86,,,,,,none,,58971000.0,1.802,700022016.0,1164845952.0,5756497920.0,416.889,175.916,31.516,0.048,0.47428,0.12161,0.10677,WANBURY.NS,202.2899932861328,211.86,202.2899932861328,211.86000061035156,207.0,211.86000061035156,201.2899932861328,5.7100067138671875,No,207.0,211.86000061035156,206.86000061035156,4.8600006103515625,-0.1399993896484375
,,,,,86400,2.0,1652.1,1666.1,1652.55,1693.0,1652.1,1666.1,1652.55,1693.0,2.5,0.18020001,0.625,100.45836,64.71054,2854582.0,2854582.0,2011775.0,1839273.0,1839273.0,,,2178722824192.0,795.5,1693.0,13.230907,1561.516,1350.6117,2197967601664.0,0.13142,460508778.0,1299449984.0,0.6291,0.19559999,,53.39,31.403822,1703980800.0,1735603200.0,1711843200.0,0.252,21641209856.0,16.69,25.91,3:2,1623283200.0,13.348,55.667,,,,,VARUN BEVERAGES,Varun Beverages Limited,1478576700,19800000,1676.65,1977.0,910.0,1590.59,1650.0,1.8,buy,17.0,4572369920.0,3.519,39484547072.0,54313099264.0,164669194240.0,76.663,126.813,0.252,0.109,0.54814,0.23978001,0.18559,VBL.NS,1672.0,1693.0,1672.0,1693.0,1666.0999755859375,1676.6500244140625,1665.0999755859375,6.9000244140625,No,1672.0,1676.6500244140625,1688.0,4.6500244140625,16.0
,,,,,86400,2.0,467.9,468.7,463.6,529.0,467.9,468.7,463.6,529.0,2.5,0.0884,0.644,18.473106,,380573.0,380573.0,89759.0,34745.0,34745.0,,,11726652416.0,288.3,529.0,7.0394454,446.306,432.9225,15079037952.0,0.38035,5467394.0,22455500.0,0.64356005,0.00865,,208.346,2.5056877,1711843200.0,1743379200.0,1711843200.0,0.561,633611008.0,28.26,,,,9.052,11.647,,,,,CSL Finance Limited,CSL Finance Limited,1658375100,19800000,522.05,,,,,,none,,633902976.0,27.815,1294712960.0,5049356800.0,1665848960.0,106.341,75.193,0.454,0.392,0.96753,0.77721,0.78528,CSLFINANCE.NS,517.7000122070312,529.0,517.7000122070312,529.0,468.70001220703125,522.0499877929688,511.5230120849609,6.177000122070353,No,517.7000122070312,522.0499877929688,524.0,4.3499755859375,6.29998779296875
10.0,9.0,3.0,7.0,9.0,86400,2.0,365.35,368.4,366.55,377.95,365.35,368.4,366.55,377.95,13.0,0.3808,0.53,14.175865,16.580587,7375086.0,7375086.0,5986679.0,7332621.0,7332621.0,,,558599962624.0,191.7,377.95,1.0251783,322.024,269.6555,503949131776.0,0.072280005,730975163.0,1500000000.0,0.50163,0.2738,,116.154,3.2060885,1711843200.0,1743379200.0,1719705600.0,0.349,39386300416.0,26.27,22.46,2:1,1499040000.0,0.925,8.888,,,,,PETRONET LNG,Petronet LNG Limited,1080272700,19800000,372.4,351.0,213.0,276.65,270.0,1.9,buy,37.0,74141999104.0,49.429,56702251008.0,30080999424.0,544880787456.0,17.278,363.293,0.35,0.151,0.14726,0.10406,0.101969995,PETRONET.NS,367.8999938964844,377.95,367.8999938964844,377.95001220703125,368.3999938964844,372.3999938964844,366.8999938964844,1.5,No,368.3999938964844,372.3999938964844,372.95001220703125,4.0,4.550018310546875
,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOS.NS,0P0001QQNM,24800",,1681789500,19800000,,,,,,,,,,,,,,,,,,,,,MOS.NS,213.39999389648438,0.0,213.39999389648438,224.8000030517578,200.85000610351562,216.89999389648438,210.26599395751953,3.1339999389648483,No,213.39999389648438,216.89999389648438,219.8000030517578,3.5,6.4000091552734375
